time,precip_mm,will_it_rain,chance_of_rain
2023-05-19 00:00,0.4,1,72
2023-05-19 01:00,0.4,1,87
2023-05-19 02:00,1.8,1,86
2023-05-19 03:00,0.1,1,75
2023-05-19 04:00,0.1,1,79
2023-05-19 05:00,0.1,0,64
2023-05-19 06:00,0.0,0,0
2023-05-19 07:00,0.0,0,0
2023-05-19 08:00,0.6,0,70
2023-05-19 09:00,0.8,0,64
2023-05-19 10:00,0.8,0,68
2023-05-19 11:00,2.1,1,82
2023-05-19 12:00,0.6,1,76
2023-05-19 13:00,0.5,1,75
2023-05-19 14:00,3.1,1,89
2023-05-19 15:00,0.6,0,70
2023-05-19 16:00,0.6,0,67
2023-05-19 17:00,2.1,1,85
2023-05-19 18:00,0.8,0,67
2023-05-19 19:00,1.1,1,77
2023-05-19 20:00,7.3,0,67
2023-05-19 21:00,0.7,1,75
2023-05-19 22:00,0.7,1,71
2023-05-19 23:00,2.4,1,83
2023-05-20 00:00,0.6,1,77
2023-05-20 01:00,0.6,1,84
2023-05-20 02:00,3.5,0,66
2023-05-20 03:00,0.4,1,87
2023-05-20 04:00,0.2,0,62
2023-05-20 05:00,0.4,1,74
2023-05-20 06:00,0.1,1,75
2023-05-20 07:00,0.1,1,88
2023-05-20 08:00,0.4,0,67
2023-05-20 09:00,0.0,0,0
2023-05-20 10:00,0.0,0,0
2023-05-20 11:00,0.0,0,0
2023-05-20 12:00,0.0,0,0
2023-05-20 13:00,0.0,0,0
2023-05-20 14:00,0.0,0,0
2023-05-20 15:00,0.0,0,0
2023-05-20 16:00,0.0,0,0
2023-05-20 17:00,0.0,0,0
2023-05-20 18:00,0.0,0,0
2023-05-20 19:00,0.0,0,0
2023-05-20 20:00,0.0,0,0
2023-05-20 21:00,0.0,0,0
2023-05-20 22:00,0.0,0,0
2023-05-20 23:00,0.0,0,0
2023-05-21 00:00,0.0,0,0
2023-05-21 01:00,0.0,0,0
2023-05-21 02:00,0.4,0,64
2023-05-21 03:00,1.5,1,77
2023-05-21 04:00,1.8,1,87
2023-05-21 05:00,5.7,1,82
2023-05-21 06:00,1.8,1,76
2023-05-21 07:00,1.6,1,85
2023-05-21 08:00,8.2,1,82
2023-05-21 09:00,0.2,1,81
2023-05-21 10:00,0.4,1,87
2023-05-21 11:00,1.1,1,72
2023-05-21 12:00,0.3,0,62
2023-05-21 13:00,0.2,0,60
2023-05-21 14:00,1.2,1,72
2023-05-21 15:00,0.0,0,0
2023-05-21 16:00,0.0,0,0
2023-05-21 17:00,0.0,0,0
2023-05-21 18:00,0.0,0,0
2023-05-21 19:00,0.0,0,0
2023-05-21 20:00,0.0,0,0
2023-05-21 21:00,0.0,0,0
2023-05-21 22:00,0.0,0,0
2023-05-21 23:00,0.0,0,0
